endTime,artistName,trackName,msPlayed
4/11/19 20:17,PUP,Scorpion Hill,1565
4/11/19 20:22,PUP,See You at Your Funeral,268304
4/11/19 20:22,PUP,Closure,10918
4/11/19 20:25,PUP,Morbid Stuff,164600
4/11/19 20:27,PUP,Full Blown Meltdown,152973
4/11/19 20:31,PUP,City,231866
4/11/19 20:36,PUP,Sibling Rivalry,305241
4/11/19 20:40,PUP,Bare Hands,215306
4/11/19 20:43,PUP,Closure,180013
4/12/19 2:17,PUP,Closure,8407
4/12/19 2:20,PUP,See You at Your Funeral,220133
4/12/19 2:26,PUP,Scorpion Hill,308133
4/12/19 2:29,PUP,Kids,210160
4/12/19 2:32,PUP,"Bloody Mary, Kate and Ashley",164040
4/12/19 2:34,PUP,Free at Last,154813
4/12/19 2:38,PUP,Free at Last,154813
4/12/19 2:42,PUP,See You at Your Funeral,220133
4/12/19 2:47,PUP,Scorpion Hill,308133
4/12/19 2:50,PUP,Closure,188413
4/12/19 3:45,PUP,"Bloody Mary, Kate and Ashley",69072
4/12/19 3:48,PUP,Morbid Stuff,164600
4/12/19 3:51,PUP,Kids,210160
4/12/19 3:54,PUP,Free at Last,154813
4/12/19 3:57,PUP,See You at Your Funeral,220133
4/12/19 4:03,PUP,Scorpion Hill,308133
4/12/19 4:14,PUP,Closure,188413
4/12/19 4:16,PUP,"Bloody Mary, Kate and Ashley",164040
4/12/19 12:18,PUP,Sibling Rivalry,207840
4/12/19 12:29,PUP,Full Blown Meltdown,152973
4/12/19 13:33,PUP,Bare Hands,6130
4/12/19 13:35,Janelle Monáe,Dirty Computer (feat. Brian Wilson),119667
4/12/19 13:39,Janelle Monáe,"Crazy, Classic, Life",286626
4/12/19 13:43,Janelle Monáe,Take a Byte,205524
4/12/19 19:00,PUP,"Bloody Mary, Kate and Ashley",164040
4/12/19 19:07,PUP,City,231866
4/12/19 19:10,PUP,Kids,167104
4/13/19 11:47,PUP,City,6144
4/13/19 11:49,PUP,Free at Last,154813
4/13/19 11:53,PUP,See You at Your Funeral,220133
4/13/19 11:58,PUP,Scorpion Hill,308133
4/13/19 12:01,PUP,Closure,188413
4/13/19 12:04,PUP,"Bloody Mary, Kate and Ashley",164040
4/13/19 12:07,PUP,Sibling Rivalry,207840
4/13/19 12:07,PUP,Full Blown Meltdown,6674
4/14/19 4:05,Better Oblivion Community Center,Forest Lawn,226240
4/14/19 4:11,The Delines,The Imperial,323093
4/14/19 4:16,Bonny Doon,Long Wave,323263
4/15/19 23:21,PUP,Morbid Stuff,164600
4/15/19 23:25,PUP,Kids,210160
4/15/19 23:27,PUP,Free at Last,154813
4/15/19 23:31,PUP,See You at Your Funeral,220133
4/15/19 23:36,PUP,Scorpion Hill,308133
4/15/19 23:36,PUP,Closure,2320
4/16/19 15:52,Janelle Monáe,Dirty Computer (feat. Brian Wilson),119667
4/16/19 15:56,Janelle Monáe,"Crazy, Classic, Life",286626
4/16/19 16:02,Janelle Monáe,Take a Byte,247253
4/16/19 16:03,Janelle Monáe,Jane's Dream,18641
4/16/19 16:08,Janelle Monáe,Screwed (feat. Zoë Kravitz),302491
4/16/19 16:11,Janelle Monáe,Django Jane,190288
4/16/19 16:13,Janelle Monáe,Pynk (feat. Grimes),130454
4/16/19 20:09,PUP,Scorpion Hill,5274
4/16/19 20:09,PUP,See You at Your Funeral,220133
4/16/19 20:09,PUP,Closure,490
4/16/19 20:11,PUP,"Bloody Mary, Kate and Ashley",164040
4/16/19 20:15,PUP,Sibling Rivalry,207840
4/16/19 20:17,PUP,Full Blown Meltdown,152973
4/16/19 20:21,PUP,Bare Hands,215306
4/16/19 20:25,PUP,City,231866
4/16/19 20:28,PUP,Can't Win,187053
4/16/19 20:32,Remo Drive,I'm My Own Doctor,267550
4/16/19 20:36,AJJ,"Getting Naked, Playing with Guns",198897
4/16/19 20:39,Modern Baseball,It's Cold Out Here,176384
4/16/19 20:42,Culture Abuse,Bee Kind To The Bugs,216266
4/16/19 20:44,Mom Jeans.,Shred Cruz,128089
4/16/19 20:47,PUP,Lionheart,161000
4/16/19 20:50,Joyce Manor,Think I'm Still In Love With You,167813
4/16/19 20:52,The Menzingers,Your Wild Years,104507
4/16/19 20:55,"Slaughter Beach, Dog",Monsters,206079
4/16/19 20:57,PUP,Doubts,88566
4/16/19 20:59,PUP,"If This Tour Doesn't Kill You, I Will",138813
4/16/19 21:01,PUP,DVP,148893
4/16/19 21:04,PUP,Doubts,180346
4/16/19 21:55,PUP,Sleep In The Heat,74197
4/16/19 22:01,Saba,BUSY / SIRENS,329541
4/16/19 22:02,Saba,BROKEN GIRLS,35834
4/16/19 22:06,Saba,LIFE,162750
4/16/19 23:52,Saba,FIGHTER,32520
4/16/19 23:52,Saba,CALLIGRAPHY,184250
4/17/19 15:14,PUP,"If This Tour Doesn't Kill You, I Will",5333
4/17/19 15:17,PUP,Doubts,180346
4/17/19 15:18,PUP,Sleep In The Heat,60869
4/18/19 12:17,PUP,Morbid Stuff,164600
4/18/19 12:20,PUP,Kids,210160
4/18/19 12:23,PUP,Free at Last,154813
4/18/19 12:27,PUP,See You at Your Funeral,220133
4/18/19 12:32,PUP,Scorpion Hill,308133
4/18/19 12:35,PUP,Closure,188413
4/18/19 12:38,PUP,"Bloody Mary, Kate and Ashley",164040
4/18/19 12:41,PUP,Sibling Rivalry,207840
4/18/19 12:44,PUP,Full Blown Meltdown,152973
4/18/19 12:45,PUP,Bare Hands,98056
4/18/19 16:17,PUP,Back Against the Wall,146360
4/18/19 16:20,PUP,Kids,210160
4/18/19 16:23,PUP,DVP,148893
4/18/19 16:26,PUP,You Don't Get Me High Anymore (triple j Like A Version),214533
4/18/19 16:30,PUP,Guilt Trip,200626
4/18/19 16:32,PUP,My Life Is Over and I Couldn't Be Happier,146493
4/18/19 16:36,PUP,Sleep In The Heat,201520
4/18/19 16:38,PUP,Mabu,128613
4/18/19 16:41,PUP,Reservoir,196666
4/18/19 16:43,PUP,"If This Tour Doesn't Kill You, I Will",138813
4/18/19 16:46,PUP,Doubts,180346
4/18/19 16:50,PUP,Dark Days,206786
4/18/19 16:53,PUP,Familiar Patterns,219840
4/18/19 16:58,PUP,Factories,269040
4/18/19 16:58,PUP,Scorpion Hill,10333
4/18/19 17:01,PUP,Free at Last,154813
4/18/19 17:04,PUP,See You at Your Funeral,220133
4/18/19 17:07,PUP,"Bloody Mary, Kate and Ashley",164040
4/18/19 17:10,PUP,Morbid Stuff,164600
4/18/19 17:13,PUP,Sibling Rivalry,207840
4/18/19 17:17,Martha,Into This,191500
4/18/19 17:19,Diet Cig,Harvard,147501
4/18/19 17:21,Banner Pilot,Alchemy,134706
4/18/19 17:25,Beach Slang,Younger Us,206237
4/18/19 17:25,Fucked Up,House of Keys,13691
4/18/19 21:15,My Chemical Romance,The End.,112920
4/18/19 21:18,My Chemical Romance,Dead!,195520
4/18/19 21:22,My Chemical Romance,This Is How I Disappear,239053
4/18/19 21:26,My Chemical Romance,The Sharpest Lives,200880
4/18/19 21:31,My Chemical Romance,Welcome to the Black Parade,311106
4/18/19 21:37,My Chemical Romance,I Don't Love You,238680
4/18/19 22:03,My Chemical Romance,House of Wolves,77221
4/18/19 22:07,All Time Low,Holly (Would You Turn Me On?),231973
4/18/19 22:08,The National,Apartment Story,51345
4/19/19 10:14,PUP,Closure,188413
4/19/19 10:18,PUP,City,231866
4/19/19 10:21,PUP,Kids,210160
4/19/19 10:22,PUP,Full Blown Meltdown,5457
4/19/19 10:25,PUP,Bare Hands,215306
4/19/19 10:28,PUP,Free at Last,154813
4/19/19 10:28,PUP,"Bloody Mary, Kate and Ashley",20858
4/19/19 15:17,PUP,"Bloody Mary, Kate and Ashley",165426
4/19/19 15:20,PUP,See You at Your Funeral,220133
4/19/19 15:24,PUP,Sibling Rivalry,207840
4/19/19 15:27,PUP,Morbid Stuff,164600
4/19/19 15:30,PUP,Bare Hands,215306
4/19/19 15:34,PUP,Kids,210160
4/19/19 15:37,PUP,Closure,188413
4/19/19 15:39,PUP,Free at Last,154813
4/19/19 15:45,PUP,Scorpion Hill,308133
4/19/19 15:47,PUP,Full Blown Meltdown,152973
4/19/19 15:51,PUP,City,231866
4/19/19 15:59,Julia Jacklin,Body,307613
4/19/19 16:02,Julia Jacklin,Head Alone,178986
4/19/19 16:02,Julia Jacklin,Pressure To Party,29304
4/21/19 14:25,Julia Jacklin,Head Alone,853
4/21/19 14:30,Julia Jacklin,Body,307613
4/21/19 14:33,Julia Jacklin,Head Alone,178986
4/21/19 14:36,Julia Jacklin,Pressure To Party,182306
4/21/19 14:42,Julia Jacklin,Don't Know How To Keep Loving You,332986
4/21/19 14:46,Julia Jacklin,When The Family Flies In,240026
4/21/19 14:50,Julia Jacklin,Convention,196106
4/21/19 14:54,Julia Jacklin,Good Guy,251880
4/21/19 14:56,Julia Jacklin,You Were Right,142386
4/21/19 15:02,Julia Jacklin,Turn Me Down,349626
4/21/19 15:05,Julia Jacklin,Comfort,187773
4/21/19 15:15,The Avett Brothers,Talk on Indolence,219640
4/21/19 15:21,The Avett Brothers,Pretty Girl from Feltre,332453
4/21/19 15:25,The Avett Brothers,Colorshow,237973
4/21/19 15:27,The Avett Brothers,Distraction #74,147600
4/21/19 15:30,The Avett Brothers,Sixteen in July,174986
